LR table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,ACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOTO,,,,,,,,,,,,
,.,const,ident,=,number,comma,;,var,procedure,:=,call,?,!,begin,end,if,then,while,do,odd,#,<,<=,>,>=,+,-,*,/,(,),$,program,block,const_declaration,const_declaration_list,var_declaration,var_declaration_list,proceduret,statement,statement_tail,condition,expression,term,factor
464, , , , , , ,r39, , , , , , , , , , , , , , , , , , ,r39,r39,r39,r39, , , , , , , , , , , , , , , , 
465, , , , , , ,r16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
466, , , , , , ,r17, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
467, , , , , , ,r18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
468, , , , ,s479, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
469, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s480, , , , , , , , , , , , , , 
470, , , , , , ,r39, , , , , , , ,r39, , , , , , , , , , ,r39,r39, , , , , , , , , , , , , , , , , , 
471, , ,r10, , , ,r10, ,r10, ,r10,r10,r10,r10, ,r10, ,r10, , , , , , , , , , , , , , , , , , , , , , , , , , , 
472, , , , , , ,r35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
473, , , , , , ,r37, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
474, , , , , , ,r38, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
475, , ,s78, ,s79, , , , , , , , , , , , , , , , , , , , ,s74,s75, , ,s80, , , , , , , , , , , , ,481,76,77
476, , , , , , ,r36, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
477, , , , , , ,r39, , , , , , , , , , , , , , , , , , , , ,r39,r39, , , , , , , , , , , , , , , , 
478, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s482, , , , , , , , , , , , , , 
479, , , , , ,s408,s409, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,483, , , , , , , , , 
480, , , , , , ,r39, , , , , , , ,r39, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
481, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s484, , , , , , , , , , , , , , 
482, , , , , , ,r39, , , , , , , , , , , , , , , , , , ,r39,r39, , , , , , , , , , , , , , , , , , 
483, , ,r4, , , ,r4,r4,r4, ,r4,r4,r4,r4, ,r4, ,r4, , , , , , , , , , , , , , , , , , , , , , , , , , , 
484, , , , , , ,r39, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
