LR table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,ACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOTO,,,,,,,,,,,,
,.,const,ident,=,number,comma,;,var,procedure,:=,call,?,!,begin,end,if,then,while,do,odd,#,<,<=,>,>=,+,-,*,/,(,),$,program,block,const_declaration,const_declaration_list,var_declaration,var_declaration_list,proceduret,statement,statement_tail,condition,expression,term,factor
176,r19, ,s37, , , ,r19, , , ,s38,s39,s40,s41,r19,s42, ,s43, , , , , , , , , , , , , , , , , , , , , ,255, , , , , 
177,r19, ,s37, , , ,r19, , , ,s38,s39,s40,s41,r19,s42, ,s43, , , , , , , , , , , , , , , , , , , , , ,256, , , , , 
178,r17, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
179, , , , , , , , , , , , , , , , ,r29, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
180, , , , , , , , , , , , , , , , ,r34, , , , , , , , , , ,s257,s258, , , , , , , , , , , , , , , , 
181, , , , , , , , , , , , , , , , ,r37, , , , , , , , , , ,r37,r37, , , , , , , , , , , , , , , , 
182, , , , , , , , , , , , , , , , ,r38, , , , , , , , , , ,r38,r38, , , , , , , , , , , , , , , , 
183, , ,s78, ,s79, , , , , , , , , , , , , , , , , , , , ,s74,s75, , ,s80, , , , , , , , , , , , ,259,76,77
184, , , , , , , , , , , , , , , , ,r30, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
185, , ,s181, ,s182, , , , , , , , , , , , , , , , , , , , , , , , ,s183, , , , , , , , , , , , , ,260,180
186, , ,s181, ,s182, , , , , , , , , , , , , , , , , , , , , , , , ,s183, , , , , , , , , , , , , ,261,180
187, , ,s102, ,s103, , , , , , , , , , , , , , , , , , , , , , , , ,s104, , , , , , , , , , , , , ,262,101
188, , ,s102, ,s103, , , , , , , , , , , , , , , , , , , , , , , , ,s104, , , , , , , , , , , , , ,263,101
189, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s264, , , , , , , , , , , , , , 
190, , , , , , , , , , , , , , , , ,r23, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
191, , , , , , , , , , , , , , , , ,r24, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
192, , , , , , , , , , , , , , , , ,r25, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
193, , , , , , , , , , , , , , , , ,r26, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
194, , , , , , , , , , , , , , , , ,r27, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
195, , , , , , , , , , , , , , , , ,r28, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
196, , ,s113, ,s114, , , , , , , , , , , , , , , , , , , , , , , , ,s115, , , , , , , , , , , , , ,265,112
197, , ,s113, ,s114, , , , , , , , , , , , , , , , , , , , , , , , ,s115, , , , , , , , , , , , , ,266,112
198, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s267, , , , , , , , , , , , , , 
199, , , ,r31, , , , , , , , , , , , , , , , ,r31,r31,r31,r31,r31, , , , , , , , , , , , , , , , , , , , 
200, , , ,r32, , , , , , , , , , , , , , , , ,r32,r32,r32,r32,r32, , , , , , , , , , , , , , , , , , , , 
201, , , ,r35, , , , , , , , , , , , , , , , ,r35,r35,r35,r35,r35,r35,r35, , , , , , , , , , , , , , , , , , 
202, , , ,r36, , , , , , , , , , , , , , , , ,r36,r36,r36,r36,r36,r36,r36, , , , , , , , , , , , , , , , , , 
203, , , ,r39, , , , , , , , , , , , , , , , ,r39,r39,r39,r39,r39,r39,r39,r39,r39, , , , , , , , , , , , , , , , 
204,r18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
205, , , , , , , , , , , , , , , , , , ,r29, , , , , , , , , , , , , , , , , , , , , , , , , , 
206, , , , , , , , , , , , , , , , , , ,r34, , , , , , , , ,s268,s269, , , , , , , , , , , , , , , , 
207, , , , , , , , , , , , , , , , , , ,r37, , , , , , , , ,r37,r37, , , , , , , , , , , , , , , , 
208, , , , , , , , , , , , , , , , , , ,r38, , , , , , , , ,r38,r38, , , , , , , , , , , , , , , , 
209, , ,s78, ,s79, , , , , , , , , , , , , , , , , , , , ,s74,s75, , ,s80, , , , , , , , , , , , ,270,76,77
210, , , , , , , , , , , , , , , , , , ,r30, , , , , , , , , , , , , , , , , , , , , , , , , , 
211, , ,s207, ,s208, , , , , , , , , , , , , , , , , , , , , , , , ,s209, , , , , , , , , , , , , ,271,206
212, , ,s207, ,s208, , , , , , , , , , , , , , , , , , , , , , , , ,s209, , , , , , , , , , , , , ,272,206
213, , ,s128, ,s129, , , , , , , , , , , , , , , , , , , , , , , , ,s130, , , , , , , , , , , , , ,273,127
214, , ,s128, ,s129, , , , , , , , , , , , , , , , , , , , , , , , ,s130, , , , , , , , , , , , , ,274,127
215, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s275, , , , , , , , , , , , , , 
216, , , , , , , , , , , , , , , , , , ,r23, , , , , , , , , , , , , , , , , , , , , , , , , , 
217, , , , , , , , , , , , , , , , , , ,r24, , , , , , , , , , , , , , , , , , , , , , , , , , 
218, , , , , , , , , , , , , , , , , , ,r25, , , , , , , , , , , , , , , , , , , , , , , , , , 
219, , , , , , , , , , , , , , , , , , ,r26, , , , , , , , , , , , , , , , , , , , , , , , , , 
220, , , , , , , , , , , , , , , , , , ,r27, , , , , , , , , , , , , , , , , , , , , , , , , , 
221, , , , , , , , , , , , , , , , , , ,r28, , , , , , , , , , , , , , , , , , , , , , , , , , 
222, , , , ,s276, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
223,r10, ,r10, , , , , ,r10, ,r10,r10,r10,r10, ,r10, ,r10, , , , , , , , , , , , , , , , , , , , , , , , , , , 
224, , ,r11, , , ,r11, ,r11, ,r11,r11,r11,r11, ,r11, ,r11, , , , , , , , , , , , , , , , , , , , ,277, , , , , , 
